route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,normal_day_time_min,morning_traffic_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,14,14,-1.95801,30.1501,SEZ B2,1.234185477,11.46265621,2.245080758,1.745785971,2.244581962,Early,Short,Medium,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,15,15,-1.95409,30.13899,Kigali Parents School2,0.808335872,12.69684169,1.461664089,1.13659727,1.461339347,Early,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,16,16,-1.95748,30.13211,La Parisse1,1.00068428,13.50517756,1.745280461,1.357138773,1.744892708,Mid,Very Short,Medium,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,17,17,-1.96272,30.1246,Ku Cyamutzig,1.037752431,14.50586184,1.835160738,1.427030123,1.834753015,Mid,Very Short,Medium,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,18,18,-1.96011,30.11533,Prince House2,0.376060601,15.54361427,0.638796376,0.496731241,0.638654453,Mid,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,19,19,-1.9612,30.11216,Alpha Palace Hotel,0.385359837,15.91967487,0.679267402,0.528201713,0.679116488,Mid,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,20,20,-1.96281,30.10898,Good Year2,0.964181241,16.30503471,1.726395268,1.342453552,1.726011709,Mid,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,21,21,-1.9682,30.1017,Sonatubes,0.438238009,17.26921595,0.719783608,0.559707316,0.719623692,Mid,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,22,22,-1.96891,30.09799,Bralirwa3,0.422027532,17.70745396,0.728571366,0.56654072,0.728409497,Mid,Very Short,Very Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,23,23,-1.96807,30.09426,Amasezerano,0.844266014,18.12948149,1.444708035,1.123412158,1.444387061,Mid,Very Short,Close,evening_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,24,24,-1.96918,30.08676,Rwandex,0.451917761,18.97374751,0.809487809,0.629461749,0.809307963,Mid,Very Short,Very Close,evening_traffic
