route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0.01,25.76687084481686,0.0,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.9942008667886283,0.0,3.259561398448859,Start,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.3130236255076158,0.9942008667886283,11.209251346912236,Start,Long,Far,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.2493210244837344,4.307224492296244,0.8114406033581194,Start,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.34507390105698327,4.556545516779979,1.0774024988923785,Start,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.38201159156299097,4.901619417836962,1.2987644516174965,Start,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.5508404081847201,5.283631009399953,1.8727477444010345,Start,Very Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.2658688111489529,5.834471417584672,3.942052235013813,Start,Short,Medium,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.22753143334497505,7.100340228733625,0.7362542615491344,Early,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.5224000154854609,7.3278716620786,1.7974570543734703,Early,Very Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.42510856645169587,7.850271677564061,1.3906395115770185,Early,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.6977259973268104,8.275380244015757,2.3999687500669853,Early,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,12,12,-1.96891,30.16975,KK 3 Rd_11,0.7372427560302977,8.973106241342567,2.5361947275348493,Early,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,13,13,-1.96715,30.16319,At 15 Ndera1,1.7960182745647255,9.710348997372865,5.96248656289053,Early,Medium,Medium,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,14,14,-1.95801,30.1501,SEZ B2,1.1840828100994487,11.50636727193759,4.399380645856503,Early,Short,Medium,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,15,15,-1.95409,30.13899,Kigali Parents School2,0.7789278185422,12.690450082037039,2.864225119554345,Early,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,16,16,-1.95748,30.13211,La Parisse1,0.9892377466119405,13.46937790057924,3.419989706727385,Mid,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,17,17,-1.96272,30.1246,Ku Cyamutzig,1.0160723227778086,14.45861564719118,3.5961159098233795,Mid,Short,Medium,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,18,18,-1.96011,30.11533,Prince House2,0.3784020483685685,15.47468796996899,1.2517627276087286,Mid,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,19,19,-1.9612,30.11216,Alpha Palace Hotel,0.3781655392702578,15.853090018337559,1.3310683157932532,Mid,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,20,20,-1.96281,30.10898,Good Year2,0.9357419593650365,16.231255557607817,3.3829829506009146,Mid,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,21,21,-1.9682,30.1017,Sonatubes,0.45054302448746936,17.166997516972852,1.4104624356564015,Mid,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,22,22,-1.96891,30.09799,Bralirwa3,0.4201088599662428,17.617540541460322,1.4276826144343724,Mid,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,23,23,-1.96807,30.09426,Amasezerano,0.8454039439039219,18.037649401426563,2.830998638739774,Mid,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,24,24,-1.96918,30.08676,Rwandex,0.43846539354663017,18.883053345330485,1.5862436074468034,Mid,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,25,25,-1.96752,30.08285,Kwa Mironko2,0.38942654295921697,19.321518738877113,1.3450852428027478,Mid,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,26,26,-1.96489,30.08039,KN 3 Rd_6,0.4105074588710369,19.71094528183633,1.3716974501333237,Late,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,27,27,-1.96249,30.07761,Volta Super1,0.5670043843590283,20.12145274070737,2.0214696613019654,Late,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,28,28,-1.9573,30.07608,Ku Mazi1,0.8097797792145648,20.688457125066396,2.670691385110985,Late,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,29,29,-1.95026,30.07484,Chez Rasta,0.40280499999193636,21.49823690428096,1.3953292361945717,Late,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,30,30,-1.94667,30.07381,One Love,0.7900941585456547,21.901041904272898,2.6940076321226774,Late,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.7013861643905552,22.69113606281855,2.4297575722181715,Late,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.49966202171078533,23.392522227209106,1.5365577710230545,Late,Very Short,Very Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.7780395992923076,23.892184248919893,2.6159784760922244,Late,Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.5292249321439368,24.6702238482122,1.8774877369196576,Late,Very Short,Close,rainy
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.5674220644607241,25.199448780356136,1.8312249003529337,Late,Very Short,Close,rainy
